date,taiex_close,verdict,label,flow_score,stock_confirmed,warning_active,confidence,insufficient_data,forward_days,forward_return_pct,max_favorable_pct,max_adverse_pct,long_win,risk_off_win
2025-02-14,23152.61,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,2.4949,2.4949,1.4463,True,False
2025-02-17,23505.33,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,0.2552,0.9569,-0.076,True,False
2025-02-18,23666.11,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,-1.6073,0.271,-1.6073,False,True
2025-02-19,23604.08,NEUTRAL,中性／觀察,1,True,False,0,False,5,-0.8538,0.5345,-1.3487,False,True
2025-02-20,23487.46,NEUTRAL,中性／觀察,0,True,False,0,False,5,-1.849,1.0337,-1.849,False,True
2025-02-21,23730.25,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,-4.1045,-0.6951,-4.1045,False,True
2025-02-24,23565.31,PANIC_CONTINUES,恐慌持續,1,False,True,0,False,5,-4.1096,-0.6907,-4.1096,False,True
2025-02-25,23285.72,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-1.7771,0.5017,-2.9582,False,True
2025-02-26,23402.55,NEUTRAL,中性／觀察,1,False,False,0,False,5,-2.9361,-1.4929,-3.4427,False,True
2025-02-27,23053.18,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.0696,-0.7864,-2.0696,False,True
2025-03-03,22756.25,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-1.3056,0.5082,-1.3056,False,True
2025-03-04,22596.88,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.3268,1.2171,-2.3268,False,True
2025-03-05,22871.9,BOUNCE_BREWING,醞釀反彈,3,False,False,0,False,5,-2.5951,-0.6841,-3.5013,False,True
2025-03-06,22715.43,NEUTRAL,中性／觀察,1,False,False,0,False,5,-3.3182,-0.6135,-3.3182,False,True
2025-03-07,22576.07,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.6932,-0.5179,-2.7214,False,True
2025-03-10,22459.15,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-1.5162,-0.805,-2.215,False,True
2025-03-11,22071.09,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,0.9088,0.9391,-0.4957,True,False
2025-03-12,22278.36,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,5,-1.4253,-0.03,-1.4253,False,True
2025-03-13,21961.68,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,1.8923,1.8923,-0.0039,True,False
2025-03-14,21968.05,NEUTRAL,中性／觀察,1,False,False,0,False,5,1.0973,1.8628,-0.0329,True,False
2025-03-17,22118.63,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,-0.0542,1.1693,-0.7134,False,True
2025-03-18,22271.67,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,0.0068,0.4741,-1.3957,True,False
2025-03-19,21960.83,REVERSAL_CONFIRMED,確認轉折,2,True,False,0,False,5,1.3636,1.8962,0.664,True,False
2025-03-20,22377.26,REVERSAL_CONFIRMED,確認轉折,3,True,False,0,False,5,-1.9015,-0.4651,-1.9015,False,True
